Player_ID,Player_Name,Date_of_Birth,Team_ID,Country,Batting_Style,Bowling_Style,Role,Player_Captain_ID
27,Yuvraj Singh,12/12/1981,6,India,Left-hand bat,Slow left-arm orthodox,Player,187
32,SR Watson,6/17/1981,2,Australia,Right-hand bat,Right-arm fast-medium,Captain,8
42,S Dhawan,12/5/1985,6,India,Left-hand bat,Right-arm offbreak,Player,187
73,A Nehra,4/29/1979,6,India,Right-hand bat,Left-arm medium-fast,Player,187
162,CH Gayle,9/21/1979,2,West Indies,Left-hand bat,Right-arm offbreak,Player,8
163,MC Henriques,2/1/1987,6,Australia,Right-hand bat,Right-arm fast-medium,Player,187
183,NV Ojha,7/20/1983,6,India,Right-hand bat,NULL,Keeper,187
187,DA Warner,10/27/1986,6,Australia,Left-hand bat,Legbreak,Captain,187
228,Bipul Sharma,9/28/1983,6,India,Left-hand bat,Slow left-arm orthodox,Player,187
236,Mandeep Singh,12/18/1991,2,India,Right-hand bat,Right-arm medium,Player,8
237,KM Jadhav,3/26/1985,2,India,Right-hand bat,Right-arm offbreak,Keeper,8
255,STR Binny,6/3/1984,2,India,Right-hand bat,Right-arm medium,Player,8
270,S Aravind,4/8/1984,2,India,Left-hand bat,Left-arm medium-fast,Player,8
299,B Kumar,2/5/1990,6,India,Right-hand bat,Right-arm medium,Player,187
369,Sachin Baby,12/18/1988,2,India,Left-hand bat,Right-arm offbreak,Player,8
382,YS Chahal,7/23/1990,2,India,Right-hand bat,Legbreak googly,Player,8
385,BCJ Cutting,1/30/1987,6,Australia,Right-hand bat,Right-arm fast-medium,Player,187
394,DJ Hooda,4/19/1995,6,India,Right-hand bat,Right-arm offbreak,Player,187
417,TM Head,12/29/1993,2,Australia,Left-hand bat,Right-arm offbreak,Player,8
470,A Choudhary,1/28/1990,2,India,Right-hand bat,Left-arm medium,Player,8
489,Rashid Khan,11/20/1998,6,Afghanistan,Right-hand bat,Legbreak googly,Player,187
495,TS Mills,8/12/1992,2,England,Right-hand bat,ÿLeft-arm fast,Player,8
17,PA Patel,3/9/1985,5,India,Left-hand bat,NULL,Keeper,57
20,MS Dhoni,7/7/1981,7,India,Right-hand bat,Right-arm medium,Keeper,306
57,RG Sharma,4/30/1987,5,India,Right-hand bat,Right-arm offbreak,Captain,57
85,AM Rahane,6/6/1988,7,India,Right-hand bat,Right-arm medium,Player,306
87,MK Tiwary,11/14/1985,7,India,Right-hand bat,Legbreak googly,Player,306
89,R Bhatia,10/22/1979,7,India,Right-hand bat,Right-arm medium-fast,Player,306
106,AB Dinda,3/25/1984,7,India,Right-hand bat,Right-arm medium-fast,Player,306
208,AT Rayudu,9/23/1985,5,India,Right-hand bat,Right-arm offbreak,Player,57
221,KA Pollard,5/12/1987,5,West Indies,Right-hand bat,Right-arm medium-fast,Player,57
260,MA Agarwal,2/16/1991,7,India,Right-hand bat,NULL,Player,306
306,SPD Smith,6/2/1989,7,India,Right-hand bat,Legbreak googly,Captain,306
375,JJ Bumrah,12/6/1993,5,India,Right-hand bat,Right-arm medium,Player,57
377,TG Southee,12/11/1988,5,New Zealand,Right-hand bat,Right-arm medium-fast,Player,57
386,Imran Tahir,3/27/1979,7,India,Right-hand bat,Legbreak googly,Player,306
400,HH Pandya,10/11/1993,5,India,Right-hand bat,Right-arm medium-fast,Player,57
403,MJ McClenaghan,6/11/1986,5,New Zealand,Left-hand bat,Left-arm fast-medium,Player,57
407,JC Buttler,9/8/1990,5,England,Right-hand bat,NULL,Player,57
413,KH Pandya,3/24/1991,5,India,Left-hand bat,Slow left-arm orthodox,Player,57
430,A Zampa,3/31/1992,7,Australia,Right-hand bat,Legbreak googly,Player,306
431,N Rana,12/27/1993,5,India,Left-hand bat,Right-arm offbreak,Player,57
465,DL Chahar,8/7/1992,7,India,Right-hand bat,Right-arm medium,Player,306
476,BA Stokes,6/4/1991,7,England,Left-hand bat,Right-arm fast-medium,Player,306
2,BB McCullum,9/27/1981,8,New Zealand,Right-hand bat,Right-arm medium,Player,21
14,P Kumar,10/2/1986,8,India,Right-hand bat,Right-arm medium,Player,21
21,SK Raina,11/27/1986,8,India,Left-hand bat,Right-arm offbreak,Captain,21
31,YK Pathan,11/17/1982,1,India,Right-hand bat,Right-arm offbreak,Player,40
40,G Gambhir,10/14/1981,1,India,Left-hand bat,Legbreak,Captain,40
46,RV Uthappa,11/11/1985,1,India,Right-hand bat,Right-arm medium,Keeper,40
67,PP Chawla,12/24/1988,1,India,Left-hand bat,Legbreak,Player,40
80,DS Kulkarni,12/10/1988,8,India,Right-hand bat,Right-arm medium,Player,21
88,KD Karthik,6/1/1985,8,India,Right-hand bat,NULL,Keeper,21
96,MK Pandey,9/10/1989,1,India,Right-hand bat,Right-arm medium,Player,40
120,MS Gony,1/4/1984,8,India,Right-hand bat,Right-arm medium,Player,21
147,DR Smith,4/12/1983,8,West Indies,Right-hand bat,Right-arm medium,Player,21
186,SB Jakati,11/27/1980,8,India,Left-hand bat,Slow left-arm orthodox,Player,21
254,AJ Finch,11/17/1986,8,Australia,Right-hand bat,Slow left-arm orthodox,Player,21
308,SA Yadav,9/14/1990,1,India,Right-hand bat,Right-arm offbreak,Player,40
315,SP Narine,5/26/1988,1,West Indies,Left-hand bat,Right-arm offbreak,Player,40
336,CA Lynn,4/10/1990,1,Australia,Right-hand bat,Slow left-arm orthodox,Player,40
432,S Kaushik,9/7/1995,8,India,Right-hand bat,Slow left-arm chinaman,Player,21
458,TA Boult,7/22/1989,1,New Zealand,Right-hand bat,Left-arm fast-medium,Player,40
462,Kuldeep Yadav,12/14/1994,1,India,Left-hand bat,Slow left-arm chinaman,Player,40
479,CR Woakes,3/2/1989,1,England,ÿRight-hand bat,Right-arm fast-medium,Player,40
481,JJ Roy,7/21/1990,8,England,ÿRight-hand bat,NULL,Player,21
20,MS Dhoni,7/7/1981,7,India,Right-hand bat,Right-arm medium,Keeper,306
62,WP Saha,10/24/1984,3,India,Right-hand bat,NULL,Keeper,305
85,AM Rahane,6/6/1988,7,India,Right-hand bat,Right-arm medium,Player,306
87,MK Tiwary,11/14/1985,7,India,Right-hand bat,Legbreak googly,Player,306
89,R Bhatia,10/22/1979,7,India,Right-hand bat,Right-arm medium-fast,Player,306
106,AB Dinda,3/25/1984,7,India,Right-hand bat,Right-arm medium-fast,Player,306
258,DT Christian,5/4/1983,7,Australia,Right-hand bat,Right-arm fast-medium,Player,306
260,MA Agarwal,2/16/1991,7,India,Right-hand bat,NULL,Player,306
305,GJ Maxwell,10/14/1988,3,Australia,Right-hand bat,Right-arm offbreak,Captain,305
306,SPD Smith,6/2/1989,7,India,Right-hand bat,Legbreak googly,Captain,306
320,DA Miller,6/10/1989,3,South Africa,Left-hand bat,Right-arm offbreak,Player,305
345,M Vohra,7/18/1993,3,India,Right-hand bat,Right-arm medium,Player,305
364,MM Sharma,9/18/1988,3,India,Right-hand bat,Right-arm medium,Player,305
367,Sandeep Sharma,5/18/1993,3,India,Right-hand bat,Right-arm medium,Player,305
374,AR Patel,1/20/1994,3,India,Left-hand bat,Slow left-arm orthodox,Player,305
386,Imran Tahir,3/27/1979,7,India,Right-hand bat,Legbreak googly,Player,306
409,MP Stoinis,8/16/1989,3,Australia,Right-hand bat,Right-arm medium,Player,305
424,Swapnil Singh,1/22/1991,3,India,Right-hand bat,Slow left-arm orthodox,Player,305
427,HM Amla,3/31/1983,3,South Africa,Right-hand bat,Right-arm offbreak,Player,305
