Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
1082591,27,Yuvraj Singh,12/12/1981,Left-hand bat,Slow left-arm orthodox,India,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia,Captain,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,42,S Dhawan,12/5/1985,Left-hand bat,Right-arm offbreak,India,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,73,A Nehra,4/29/1979,Right-hand bat,Left-arm medium-fast,India,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,162,CH Gayle,9/21/1979,Left-hand bat,Right-arm offbreak,West Indies,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,163,MC Henriques,2/1/1987,Right-hand bat,Right-arm fast-medium,Australia,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,183,NV Ojha,7/20/1983,Right-hand bat,NULL,India,Keeper,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,187,DA Warner,10/27/1986,Left-hand bat,Legbreak,Australia,Captain,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,228,Bipul Sharma,9/28/1983,Left-hand bat,Slow left-arm orthodox,India,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,236,Mandeep Singh,12/18/1991,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,237,KM Jadhav,3/26/1985,Right-hand bat,Right-arm offbreak,India,Keeper,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,255,STR Binny,6/3/1984,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,270,S Aravind,4/8/1984,Left-hand bat,Left-arm medium-fast,India,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,299,B Kumar,2/5/1990,Right-hand bat,Right-arm medium,India,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,369,Sachin Baby,12/18/1988,Left-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,382,YS Chahal,7/23/1990,Right-hand bat,Legbreak googly,India,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,385,BCJ Cutting,1/30/1987,Right-hand bat,Right-arm fast-medium,Australia,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,394,DJ Hooda,4/19/1995,Right-hand bat,Right-arm offbreak,India,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,417,TM Head,12/29/1993,Left-hand bat,Right-arm offbreak,Australia,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,470,A Choudhary,1/28/1990,Right-hand bat,Left-arm medium,India,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082591,489,Rashid Khan,11/20/1998,Right-hand bat,Legbreak googly,Afghanistan,Player,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,SR Watson,NV Ojha,KM Jadhav
1082591,495,TS Mills,8/12/1992,Right-hand bat, Left-arm fast,England,Player,Royal Challengers Bangalore,Sunrisers Hyderabad,SR Watson,DA Warner,KM Jadhav,NV Ojha
1082592,17,PA Patel,3/9/1985,Left-hand bat,NULL,India,Keeper,Mumbai Indians,Rising Pune Supergiants,RG Sharma,SPD Smith,PA Patel,MS Dhoni
1082592,20,MS Dhoni,7/7/1981,Right-hand bat,Right-arm medium,India,Keeper,Rising Pune Supergiants,Mumbai Indians,SPD Smith,RG Sharma,MS Dhoni,PA Patel
1082592,57,RG Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India,Captain,Mumbai Indians,Rising Pune Supergiants,RG Sharma,SPD Smith,PA Patel,MS Dhoni
1082592,85,AM Rahane,6/6/1988,Right-hand bat,Right-arm medium,India,Player,Rising Pune Supergiants,Mumbai Indians,SPD Smith,RG Sharma,MS Dhoni,PA Patel
1082592,87,MK Tiwary,11/14/1985,Right-hand bat,Legbreak googly,India,Player,Rising Pune Supergiants,Mumbai Indians,SPD Smith,RG Sharma,MS Dhoni,PA Patel
1082592,89,R Bhatia,10/22/1979,Right-hand bat,Right-arm medium-fast,India,Player,Rising Pune Supergiants,Mumbai Indians,SPD Smith,RG Sharma,MS Dhoni,PA Patel
1082592,106,AB Dinda,3/25/1984,Right-hand bat,Right-arm medium-fast,India,Player,Rising Pune Supergiants,Mumbai Indians,SPD Smith,RG Sharma,MS Dhoni,PA Patel
1082592,208,AT Rayudu,9/23/1985,Right-hand bat,Right-arm offbreak,India,Player,Mumbai Indians,Rising Pune Supergiants,RG Sharma,SPD Smith,PA Patel,MS Dhoni
1082592,221,KA Pollard,5/12/1987,Right-hand bat,Right-arm medium-fast,West Indies,Player,Mumbai Indians,Rising Pune Supergiants,RG Sharma,SPD Smith,PA Patel,MS Dhoni
1082592,260,MA Agarwal,2/16/1991,Right-hand bat,NULL,India,Player,Rising Pune Supergiants,Mumbai Indians,SPD Smith,RG Sharma,MS Dhoni,PA Patel
